date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:58	42/42	------	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:04%20GMT	https://flex-global.web.app/que-es-un-seguro-de-salud	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/que-es-un-seguro-de-salud.f.delayed	(from https://flex-global.web.app/)
10:04:58	41/41	------	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:04%20GMT	https://flex-global.web.app/tipos-de-planes-de-salud	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/tipos-de-planes-de-salud.10.delayed	(from https://flex-global.web.app/)
10:04:58	34335/34335	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/team/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/team/index.html	(from https://flex-global.web.app/)
10:04:58	29150/29150	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/reclamos/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/reclamos/index.html	(from https://flex-global.web.app/)
10:04:58	39390/39390	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/mision-vision/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/mision-vision/index.html	(from https://flex-global.web.app/)
10:04:58	29217/29217	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/que-es-un-seguro-de-salud/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/que-es-un-seguro-de-salud/index.html	(from https://flex-global.web.app/)
10:04:58	39/39	------	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2026%20Jul%202025%2016:01:04%20GMT	https://flex-global.web.app/como-aplicar-al-seguro	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/como-aplicar-al-seguro.11.delayed	(from https://flex-global.web.app/)
10:04:58	28285/28285	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/como-aplicar-al-seguro/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/como-aplicar-al-seguro/index.html	(from https://flex-global.web.app/)
10:04:58	30308/30308	---M--	200	added ('OK')	text/html	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/tipos-de-planes-de-salud/	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/tipos-de-planes-de-salud/index.html	(from https://flex-global.web.app/)
10:04:59	2198/2198	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2017%20Jul%202025%2013:46:56%20GMT	https://flex-global.web.app/assets/images/aliados/logo1.svg	D:/CODE/web_flexglobal/Web_Extract/web_flexglobal/flex-global.web.app/assets/images/aliados/logo1.svg	(from https://flex-global.web.app/)
